Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,MTBF,Failure_Rate,Downtime_Per_Failure,Maintenance_Intensity,Historical_Risk_Index,Failure_Risk,Affected_Module
MD04970,CT Scanner,2016-02-28,9,ScanPro,Model-600,France,4293.662558742555,1.8740386580859127,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix,1.8,0.4,0.3748077316171825,3.7480773161718255,0.4173341558455395,Medium,Console / Software
MD03664,CT Scanner,2023-04-17,2,ImagingTech,Model-250,Japan,13689.215066756333,7.551035977269444,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,2.0,0.0,7.551035977269444,15.102071954538888,0.1702786623785147,Low,Detector / Sensors
MD03879,CT Scanner,2023-03-14,2,UltraMed,Model-550,UK,4766.146903213029,3.570759858786596,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay,1.0,0.3333333333333333,1.785379929393298,10.712279576359787,0.2411462352840782,Low,Console / Software
MD03382,CT Scanner,2019-07-15,6,UltraMed,Model-650,Canada,1358.021833089199,4.679732829547163,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,3.0,0.1428571428571428,2.339866414773581,14.039198488641487,0.2859257809748168,Low,Detector / Sensors
MD05448,CT Scanner,2014-03-18,11,MedEquip,Model-500,France,4769.272971023088,4.444543189084446,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,5.5,0.0833333333333333,2.222271594542223,4.444543189084446,0.26367251276147,Low,Detector / Sensors
MD04171,CT Scanner,2016-03-25,9,RescueTech,Model-600,Italy,7409.761716860064,4.868275801444862,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,4.5,0.1,2.434137900722431,24.34137900722431,0.4025827201724572,Medium,Power / Electronics
MD03601,CT Scanner,2016-02-19,9,ScanPro,Model-100,UK,8353.801795701629,15.544314489840046,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,9.0,0.0,15.544314489840046,31.08862897968009,0.3085088831203215,Low,Console / Software
MD00060,CT Scanner,2019-11-03,6,CardioSync,Model-500,Italy,8832.886301916946,15.07082958069322,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,2.0,0.2857142857142857,5.0236098602310735,30.14165916138644,0.3753241284088244,Medium,Detector / Sensors
MD03054,CT Scanner,2013-10-02,12,UltraMed,Model-200,Japan,5910.5701703758,4.624923921996813,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,3.0,0.2307692307692307,1.1562309804992033,23.124619609984062,0.540524575567085,High,Console / Software
MD04295,CT Scanner,2017-04-03,8,CardioSync,Model-350,France,11441.436912445062,17.658762635698253,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,8.0,0.0,17.658762635698253,88.29381317849126,0.4317647158549608,Medium,Mechanical / Gantry
